hero,minor_patch,wins_total,games_total,wins_battlefield_of_eternity,games_battlefield_of_eternity,wins_blackhearts_bay,games_blackhearts_bay,wins_braxis_holdout,games_braxis_holdout,wins_cursed_hollow,games_cursed_hollow,wins_dragon_shire,games_dragon_shire,wins_garden_of_terror,games_garden_of_terror,wins_hanamura_temple,games_hanamura_temple,wins_haunted_mines,games_haunted_mines,wins_infernal_shrines,games_infernal_shrines,wins_sky_temple,games_sky_temple,wins_tomb_of_the_spider_queen,games_tomb_of_the_spider_queen,wins_towers_of_doom,games_towers_of_doom,wins_warhead_junction,games_warhead_junction,wins_volskaya_foundry,games_volskaya_foundry,wins_alterac_pass,games_alterac_pass
abathur,2.55.0.86938,6419,13208,151,364,,,124,288,1048,2158,364,805,709,1355,241,513,,,406,809,846,1721,168,413,534,1049,1150,2389,,,678,1344
abathur,2.55.1.87306,5157,10788,114,294,,,73,208,915,1793,336,721,561,1075,159,372,,,348,724,644,1361,117,298,434,851,940,2044,,,516,1047
abathur,2.55.2.87774,2812,5786,67,160,,,44,89,448,926,175,381,300,604,110,209,,,182,394,406,818,80,174,238,445,503,1051,,,259,535
abathur,2.55.2.87990,1360,2784,38,89,,,25,58,218,458,100,194,151,285,59,121,,,84,171,162,347,35,82,126,234,244,473,,,118,272
abathur,2.55.2.88122,5371,11069,138,316,,,126,246,862,1717,365,795,566,1145,229,440,,,336,696,694,1377,176,374,451,882,934,2012,,,494,1069
abathur,2.55.3.88481,6483,13658,176,399,,,132,294,1143,2336,396,890,663,1320,291,553,,,421,838,821,1706,164,380,494,1023,1185,2632,,,597,1287
abathur,2.55.3.88936,5680,12087,176,380,,,127,281,884,1876,375,815,606,1229,231,511,,,370,799,710,1509,171,400,413,852,1060,2251,,,557,1184
abathur,2.55.3.89566,1856,4054,57,132,,,44,100,270,590,115,262,216,432,93,191,,,121,272,211,479,48,125,153,315,335,757,,,193,399
abathur,2.55.3.89754,9612,20715,282,688,,,218,515,1957,4067,697,1622,1263,2661,,,,,677,1485,1442,3118,284,724,896,1881,,,672,1398,1224,2556
abathur,2.55.3.90670,3100,6674,100,235,,,67,165,603,1299,243,549,412,871,,,,,225,482,470,1011,107,237,302,605,,,245,475,326,745
abathur,2.55.3.91020,104,234,2,7,,,2,7,22,53,8,19,13,26,,,,,9,20,14,32,5,8,7,12,,,8,17,14,33
abathur,2.55.3.91081,166,374,3,10,,,2,7,44,74,10,25,23,56,,,,,9,19,21,56,7,12,17,39,,,10,29,20,47
abathur,2.55.3.91093,2979,6558,89,225,,,70,155,662,1347,185,500,415,853,,,,,220,507,461,997,83,225,269,607,,,210,418,315,724
abathur,2.55.4.91368,374,758,9,27,,,7,12,88,151,18,49,57,111,,,,,32,56,52,114,7,24,37,78,,,23,51,44,85
abathur,2.55.4.91418,4676,9787,134,318,,,99,226,955,1982,329,756,642,1314,,,,,373,794,661,1414,139,336,388,798,,,375,715,581,1134
abathur,2.55.4.91769,6589,13961,201,455,,,167,353,1275,2740,500,1120,878,1804,,,,,523,1110,973,2045,205,523,557,1188,,,491,1002,819,1621
abathur,2.55.5.92264,4005,8714,122,295,,,72,203,879,1756,304,710,481,1082,,,,,296,655,611,1287,117,301,348,769,,,267,599,508,1057
abathur,2.55.6.92665,3074,6571,76,207,,,63,159,644,1351,242,506,386,827,,,,,213,488,432,925,81,215,317,608,,,248,504,372,781
abathur,2.55.7.93009,345,712,8,20,,,10,20,84,157,23,52,38,86,,,,,28,53,50,107,6,20,31,61,,,24,46,43,90
abathur,2.55.7.93054,1084,2347,30,77,,,26,61,223,475,78,200,123,274,,,,,79,177,167,353,28,84,109,197,,,90,167,131,282
abathur,2.55.7.93151,1132,2451,30,86,,,27,73,239,483,75,212,140,288,,,,,96,177,164,342,49,113,97,212,,,95,188,120,277
abathur,2.55.8.93357,115,275,5,14,,,5,11,23,46,10,25,16,38,,,,,11,22,14,42,3,8,7,24,,,5,16,16,29
abathur,2.55.8.93382,2047,4455,60,146,,,48,105,417,847,152,355,294,618,,,,,150,360,306,649,67,154,174,387,,,148,324,231,510
abathur,2.55.9.93565,25,48,0,3,,,2,2,3,7,2,4,0,1,,,,,6,7,3,8,2,3,4,6,,,0,1,3,6
abathur,2.55.9.93613,274,646,11,29,,,5,18,49,120,23,63,30,62,,,,,24,49,46,91,9,29,28,64,,,14,41,35,80
abathur,2.55.9.93640,1808,3962,56,123,,,42,107,386,792,127,304,261,544,,,,,119,277,275,598,62,160,157,350,,,131,287,192,420
abathur,2.55.10.93810,3081,6705,62,186,,,56,139,716,1396,242,532,379,836,,,,,226,472,466,1047,105,266,277,586,,,212,479,340,766
abathur,2.55.10.94189,620,1398,18,42,,,11,35,134,288,38,106,78,185,,,,,44,104,98,215,18,45,65,137,,,47,92,69,149
abathur,2.55.10.94387,702,1600,22,49,,,22,41,151,331,42,112,100,223,,,,,41,111,109,253,17,52,62,131,,,52,110,84,187
abathur,2.55.10.94470,2349,5200,70,183,,,48,107,511,1079,173,399,288,664,,,,,171,400,367,766,68,191,207,446,,,167,370,279,595
abathur,2.55.12.94714,359,765,11,25,,,11,25,70,148,29,57,55,109,,,,,24,59,46,105,13,27,33,70,,,24,43,43,97
abathur,2.55.12.94786,2629,5639,71,172,,,98,185,523,1109,187,445,350,702,,,,,208,448,401,838,74,194,238,507,,,203,425,276,614
abathur,2.55.13.95213,203,437,5,16,,,3,10,38,88,15,38,29,55,,,,,23,38,29,61,4,13,12,30,,,18,36,27,52
abathur,2.55.13.95301,686,1452,37,68,,,11,36,133,273,58,123,90,193,,,,,46,98,103,208,18,44,54,123,,,46,105,90,181
alarak,2.53.0.83004,729,1384,53,97,,,79,135,58,101,63,123,48,102,84,149,,,42,94,74,124,46,109,55,108,,,74,133,53,109
alarak,2.53.0.83077,10,26,0,2,,,,,0,1,1,3,1,3,2,4,,,0,1,0,2,0,2,3,5,,,3,3,,
alarak,2.53.0.83086,5183,10175,502,912,,,481,956,347,718,465,878,374,743,548,1052,,,339,709,385,760,430,850,447,835,,,459,951,406,811
alarak,2.53.1.83632,205,418,17,34,,,23,44,21,41,17,30,10,24,29,57,,,14,30,14,24,14,25,15,45,,,19,37,12,27
alarak,2.53.1.83716,4919,9543,446,863,,,423,841,382,699,458,853,374,725,465,946,,,329,677,388,730,401,782,447,782,,,449,891,357,754
alarak,2.53.2.84200,295,593,23,47,,,29,52,23,47,26,58,28,52,30,59,,,21,36,23,46,24,49,23,50,,,26,56,19,41
alarak,2.53.3.84249,10804,20982,1019,1938,,,987,1914,800,1535,963,1890,758,1515,1087,2032,,,735,1491,840,1597,918,1828,965,1799,,,928,1859,804,1584
alarak,2.54.0.85027,3952,7741,405,788,,,383,718,283,548,383,761,311,570,400,820,,,256,551,294,550,298,626,382,729,276,513,,,281,567
alarak,2.54.1.85267,906,1790,81,164,,,94,179,68,128,81,186,65,133,100,181,,,57,118,75,145,70,137,86,154,67,121,,,62,144
alarak,2.54.1.85311,4004,7902,364,710,,,367,718,272,559,372,731,271,578,408,788,,,295,610,336,630,342,695,355,676,297,542,,,325,665
alarak,2.54.2.85551,248,479,22,42,,,20,43,13,37,23,46,19,32,29,45,,,18,40,23,41,29,47,23,44,12,25,,,17,37
alarak,2.54.2.85576,3564,6936,327,630,,,333,627,243,488,295,599,287,539,370,728,,,284,540,253,545,308,615,356,643,241,459,,,267,523
alarak,2.54.2.85894,5213,10215,501,974,,,498,962,376,741,472,949,403,756,510,1028,,,391,776,373,817,442,876,491,856,370,685,,,386,795
alarak,2.54.3.86223,8745,16838,880,1649,,,764,1502,640,1235,849,1592,714,1345,896,1728,,,646,1281,616,1229,694,1321,785,1454,587,1159,,,674,1343
alarak,2.55.0.86938,7600,14535,752,1395,,,744,1373,566,1056,678,1334,563,1100,778,1519,,,505,1052,576,1123,604,1133,712,1295,543,1042,,,579,1113
alarak,2.55.1.87306,6119,11913,579,1108,,,569,1070,455,895,549,1045,477,919,672,1304,,,411,834,488,982,452,957,555,1052,441,849,,,471,898
alarak,2.55.2.87774,4187,8033,400,753,,,363,700,308,579,392,748,321,625,438,871,,,321,626,331,663,318,635,390,676,275,513,,,330,644
alarak,2.55.2.87990,1708,3283,137,280,,,150,277,134,242,156,304,138,276,183,352,,,111,233,148,301,144,262,156,298,124,221,,,127,237
alarak,2.55.2.88122,7045,13674,642,1251,,,686,1260,542,1065,669,1298,525,1028,719,1407,,,455,984,590,1083,582,1140,663,1222,492,928,,,480,1008
alarak,2.55.3.88481,7783,15237,787,1539,,,754,1412,568,1126,743,1463,574,1115,855,1639,,,513,1088,592,1208,591,1227,704,1297,524,1021,,,578,1102
alarak,2.55.3.88936,6979,13580,663,1241,,,609,1171,549,1036,611,1226,528,1051,755,1452,,,432,929,573,1115,571,1119,658,1216,494,951,,,536,1073
alarak,2.55.3.89566,2160,4245,174,359,,,193,378,165,331,223,435,141,287,205,434,,,170,327,164,324,175,354,213,391,163,281,,,174,344
alarak,2.55.3.89754,13217,25685,1453,2769,,,1345,2533,986,1962,1333,2570,1027,2038,,,,,995,2071,1113,2158,1148,2255,1344,2529,,,1388,2710,1085,2090
alarak,2.55.3.90670,3840,7638,402,797,,,395,763,305,606,400,776,293,588,,,,,263,580,336,656,357,717,370,721,,,432,845,287,589
alarak,2.55.3.91020,112,243,8,16,,,16,28,8,19,15,29,9,14,,,,,10,25,8,24,7,17,10,26,,,13,26,8,19
alarak,2.55.3.91081,205,412,23,46,,,23,38,13,30,26,52,18,33,,,,,9,21,17,26,19,35,18,39,,,25,54,14,38
alarak,2.55.3.91093,3976,7680,411,818,,,430,811,322,637,379,735,308,605,,,,,294,559,342,661,341,697,383,700,,,455,869,311,588
alarak,2.55.4.91368,388,784,42,81,,,38,78,32,61,36,73,39,78,,,,,37,76,32,64,28,58,40,76,,,27,68,37,71
alarak,2.55.4.91418,5580,11017,573,1118,,,521,1034,440,886,580,1119,436,861,,,,,402,845,457,921,542,1061,569,1034,,,598,1203,462,935
alarak,2.55.4.91769,7700,15127,809,1597,,,787,1460,630,1193,795,1570,586,1183,,,,,553,1149,610,1242,665,1362,806,1487,,,794,1643,665,1241
alarak,2.55.5.92264,5362,10460,552,1092,,,533,987,410,786,569,1072,406,807,,,,,404,834,447,900,425,908,573,1056,,,582,1155,461,863
alarak,2.55.6.92665,3846,7699,419,778,,,406,806,293,583,436,818,293,601,,,,,267,598,299,629,312,643,403,780,,,416,847,302,616
alarak,2.55.7.93009,488,920,49,95,,,45,95,35,75,64,108,32,61,,,,,44,81,38,68,42,84,51,91,,,57,95,31,67
alarak,2.55.7.93054,1539,2967,165,294,,,153,293,92,213,155,316,130,247,,,,,132,244,143,260,126,262,162,273,,,151,313,130,252
alarak,2.55.7.93151,1407,2778,148,287,,,149,287,112,216,139,260,91,187,,,,,103,233,100,228,137,271,146,273,,,177,321,105,215
alarak,2.55.8.93357,175,341,13,26,,,20,34,13,26,12,36,12,24,,,,,11,24,14,27,16,30,21,39,,,22,39,21,36
alarak,2.55.8.93382,2772,5299,271,513,,,238,470,236,446,288,535,237,439,,,,,207,427,248,451,240,501,259,478,,,322,621,226,418
alarak,2.55.9.93565,27,54,0,3,,,3,6,3,6,0,3,1,2,,,,,1,5,3,5,3,5,5,9,,,4,5,4,5
alarak,2.55.9.93613,323,669,35,82,,,30,61,23,56,35,56,19,40,,,,,30,51,31,61,34,66,27,49,,,34,92,25,55
alarak,2.55.9.93640,2318,4576,220,447,,,226,444,165,346,244,458,174,335,,,,,174,339,188,382,253,496,234,427,,,249,527,191,375
alarak,2.55.10.93810,4029,7935,416,776,,,373,737,295,575,401,779,309,672,,,,,312,622,359,682,424,851,404,734,,,444,903,292,604
alarak,2.55.10.94189,927,1744,85,166,,,70,134,69,124,103,180,66,123,,,,,82,143,86,156,87,180,94,167,,,124,222,61,149
alarak,2.55.10.94387,925,1891,104,203,,,74,153,71,149,100,211,74,161,,,,,69,144,82,169,78,166,97,168,,,115,229,61,138
alarak,2.55.10.94470,3350,6520,302,596,,,332,610,293,576,362,681,260,515,,,,,269,537,268,510,327,611,312,601,,,341,740,284,543
alarak,2.55.12.94714,730,1458,72,141,,,51,116,62,110,77,151,57,108,,,,,72,131,53,125,76,137,81,163,,,55,139,74,137
alarak,2.55.12.94786,4450,8518,425,800,,,420,793,360,681,465,869,358,717,,,,,369,729,424,770,391,791,446,808,,,458,888,334,672
alarak,2.55.13.95213,306,557,20,46,,,39,66,24,41,29,59,23,37,,,,,22,52,38,55,30,55,20,40,,,37,59,24,47
alarak,2.55.13.95301,1006,1897,88,168,,,79,156,89,159,90,184,70,147,,,,,86,171,108,176,93,205,100,177,,,104,189,99,165
alexstrasza,2.53.0.83004,408,826,15,45,,,27,67,25,61,27,60,35,59,33,52,,,64,134,35,64,30,54,32,52,,,44,100,41,78
alexstrasza,2.53.0.83077,11,22,0,1,,,1,3,0,1,1,1,2,3,,,,,0,2,1,2,1,1,0,2,,,3,4,2,2
alexstrasza,2.53.0.83086,3052,6263,195,422,,,279,549,239,456,203,392,259,511,219,461,,,452,945,226,450,247,528,171,382,,,297,639,265,528
alexstrasza,2.53.1.83632,119,217,9,16,,,13,18,5,13,6,18,11,24,7,15,,,20,32,8,14,9,13,4,12,,,8,16,19,26
alexstrasza,2.53.1.83716,3117,6177,163,356,,,260,560,245,462,212,445,257,495,213,430,,,498,920,212,434,243,504,189,386,,,359,664,266,521
alexstrasza,2.53.2.84200,231,456,11,24,,,22,46,18,32,14,34,16,33,15,33,,,45,65,15,33,17,35,15,36,,,25,41,18,44
alexstrasza,2.53.3.84249,6601,13339,433,861,,,568,1206,493,1000,451,930,536,1039,451,960,,,899,1884,480,963,562,1097,469,892,,,705,1387,554,1120
alexstrasza,2.54.0.85027,2587,5054,186,352,,,214,430,212,399,200,401,213,409,210,394,,,361,709,200,382,209,428,180,373,161,318,,,241,459
alexstrasza,2.54.1.85267,551,1085,32,65,,,56,101,52,90,32,72,61,115,39,82,,,58,124,42,80,57,116,47,85,29,68,,,46,87
alexstrasza,2.54.1.85311,2468,4914,175,364,,,235,468,199,389,196,392,229,430,162,330,,,316,635,183,369,244,462,148,327,165,315,,,216,433
alexstrasza,2.54.2.85551,151,256,14,20,,,10,13,7,15,8,16,18,27,16,21,,,18,41,13,18,11,24,16,25,5,13,,,15,23
alexstrasza,2.54.2.85576,2088,4147,162,291,,,179,385,159,335,167,318,170,349,162,316,,,256,539,183,321,191,371,139,295,112,231,,,208,396
alexstrasza,2.54.2.85894,2723,5610,182,409,,,248,484,228,440,190,416,218,468,196,425,,,383,764,197,380,245,503,187,413,178,377,,,271,531
alexstrasza,2.54.3.86223,4346,8756,316,595,,,399,796,329,654,361,719,413,820,318,663,,,562,1149,309,660,354,727,316,614,286,593,,,383,766
alexstrasza,2.55.0.86938,3442,7024,224,454,,,309,642,278,576,247,533,321,591,266,597,,,462,925,277,545,271,564,253,512,232,469,,,302,616
alexstrasza,2.55.1.87306,2970,6158,178,404,,,278,598,230,472,266,498,260,515,203,444,,,387,845,231,442,261,558,214,452,201,415,,,261,515
alexstrasza,2.55.2.87774,2548,5051,201,370,,,229,455,197,385,193,380,221,405,212,409,,,316,625,191,392,244,474,172,376,152,330,,,220,450
alexstrasza,2.55.2.87990,970,1930,61,126,,,94,179,81,160,90,180,78,167,75,134,,,107,212,81,149,92,194,75,151,53,120,,,83,158
alexstrasza,2.55.2.88122,3810,7653,238,492,,,374,733,307,613,329,661,299,663,316,597,,,514,1016,299,605,337,656,254,509,217,466,,,326,642
alexstrasza,2.55.3.88481,4731,9239,306,624,,,471,918,367,709,381,746,398,776,389,724,,,605,1192,377,723,423,813,341,684,295,577,,,378,753
alexstrasza,2.55.3.88936,4428,8601,271,562,,,427,828,348,643,359,707,347,671,346,674,,,578,1118,341,683,400,755,330,641,294,573,,,387,746
alexstrasza,2.55.3.89566,1537,2939,105,202,,,144,293,106,209,122,225,129,239,112,231,,,220,404,111,219,148,287,111,209,93,174,,,136,247
alexstrasza,2.55.3.89754,8384,16282,533,1051,,,909,1740,626,1237,640,1308,718,1364,,,,,1145,2179,591,1201,896,1664,616,1179,,,958,1904,752,1455
alexstrasza,2.55.3.90670,2841,5593,167,353,,,316,643,196,409,219,413,244,492,,,,,355,714,194,404,332,603,246,458,,,321,626,251,478
alexstrasza,2.55.3.91020,106,191,4,10,,,12,22,5,9,9,13,8,18,,,,,21,35,14,22,9,18,8,12,,,8,17,8,15
alexstrasza,2.55.3.91081,130,283,6,19,,,16,27,7,17,18,27,7,21,,,,,10,33,10,22,17,36,16,33,,,14,28,9,20
alexstrasza,2.55.3.91093,2651,5287,180,316,,,282,562,206,426,192,417,228,421,,,,,359,752,188,401,261,532,201,379,,,311,627,243,454
alexstrasza,2.55.4.91368,298,568,19,38,,,33,62,12,35,35,62,25,45,,,,,31,65,27,48,37,58,21,38,,,37,70,21,47
alexstrasza,2.55.4.91418,3950,7541,256,510,,,406,767,302,591,344,638,302,588,,,,,555,1027,256,524,428,797,290,589,,,468,882,343,628
alexstrasza,2.55.4.91769,5277,10247,351,684,,,592,1132,370,739,443,843,379,805,,,,,732,1407,377,758,577,1071,398,789,,,626,1151,432,868
alexstrasza,2.55.5.92264,4456,8191,294,558,,,483,874,309,585,401,745,377,690,,,,,564,1033,318,571,495,894,339,618,,,501,902,375,721
alexstrasza,2.55.6.92665,3027,5798,198,385,,,329,632,243,433,250,470,244,462,,,,,369,716,218,446,307,608,226,434,,,363,705,280,507
alexstrasza,2.55.7.93009,340,666,31,51,,,37,75,25,47,23,55,25,54,,,,,37,72,16,44,49,76,29,56,,,40,75,28,61
alexstrasza,2.55.7.93054,1186,2255,82,141,,,105,231,90,173,107,204,89,158,,,,,164,283,88,175,131,241,92,182,,,140,264,98,203
alexstrasza,2.55.7.93151,1063,2083,77,154,,,97,206,79,147,112,211,91,170,,,,,132,264,73,167,113,220,85,167,,,108,205,96,172
alexstrasza,2.55.8.93357,116,223,6,11,,,19,32,6,13,8,16,10,18,,,,,16,30,7,13,12,19,10,20,,,11,25,11,26
alexstrasza,2.55.8.93382,1862,3507,130,239,,,209,384,129,232,147,299,131,279,,,,,271,490,143,272,182,349,125,252,,,231,404,164,307
alexstrasza,2.55.9.93565,10,26,,,,,2,3,,,1,4,0,1,,,,,1,3,1,3,0,2,2,4,,,2,4,1,2
alexstrasza,2.55.9.93613,212,408,19,32,,,21,47,13,21,17,33,14,31,,,,,30,58,14,24,34,56,13,25,,,18,40,19,41
alexstrasza,2.55.9.93640,1367,2738,93,197,,,144,302,87,171,137,249,102,213,,,,,182,359,85,189,156,284,94,206,,,163,304,124,264
alexstrasza,2.55.10.93810,2673,5297,179,386,,,277,564,210,419,198,416,245,479,,,,,323,639,198,395,302,559,211,421,,,318,589,212,430
alexstrasza,2.55.10.94189,557,1143,39,85,,,60,111,52,96,42,98,51,98,,,,,72,156,46,90,49,110,45,80,,,53,121,48,98
alexstrasza,2.55.10.94387,633,1253,45,85,,,61,135,42,87,52,109,54,111,,,,,79,147,48,102,68,126,49,88,,,70,144,65,119
alexstrasza,2.55.10.94470,1749,3484,113,251,,,169,344,126,275,145,296,157,298,,,,,219,407,125,249,191,375,129,258,,,193,390,182,341
alexstrasza,2.55.12.94714,217,436,18,35,,,20,41,18,30,20,33,18,35,,,,,27,64,16,35,17,42,16,34,,,26,48,21,39
alexstrasza,2.55.12.94786,1776,3413,102,209,,,207,381,141,270,137,279,143,274,,,,,249,449,123,244,191,355,131,264,,,198,397,154,291
alexstrasza,2.55.13.95213,105,226,3,18,,,11,32,9,18,10,12,12,17,,,,,15,33,9,20,10,26,10,16,,,8,17,8,17
alexstrasza,2.55.13.95301,403,810,27,54,,,48,76,28,63,29,65,38,64,,,,,48,107,30,56,48,97,28,57,,,47,91,32,80
ana,2.53.0.83004,1286,2579,124,240,,,134,277,103,197,97,194,95,193,97,210,,,97,183,86,166,124,246,102,215,,,117,243,110,215
ana,2.53.0.83077,19,36,3,3,,,1,3,1,3,2,4,1,1,0,2,,,2,3,3,3,0,3,6,6,,,0,2,0,3
ana,2.53.0.83086,8093,16756,711,1410,,,862,1846,554,1199,628,1351,600,1211,672,1427,,,641,1317,529,1119,732,1529,686,1391,,,830,1641,648,1315
ana,2.53.1.83632,345,694,30,57,,,46,89,28,47,21,58,29,48,32,63,,,26,55,19,41,30,63,30,62,,,27,61,27,50
ana,2.53.1.83716,7317,14872,665,1301,,,804,1654,492,1022,603,1189,550,1099,588,1226,,,600,1189,487,1007,667,1351,593,1227,,,674,1394,594,1213
ana,2.53.2.84200,344,692,29,62,,,39,74,25,56,22,51,22,52,24,54,,,24,51,32,54,30,51,34,59,,,33,74,30,54
ana,2.53.3.84249,13676,27890,1168,2309,,,1502,3076,968,1981,1053,2245,988,2034,1101,2307,,,1120,2281,900,1880,1282,2488,1201,2431,,,1237,2627,1156,2231
ana,2.54.0.85027,4770,9816,460,908,,,534,1145,353,685,377,828,380,724,411,831,,,390,828,301,664,466,945,453,868,261,596,,,384,794
ana,2.54.1.85267,915,1943,80,172,,,99,214,55,129,79,165,69,144,72,162,,,76,148,72,146,108,224,84,178,47,105,,,74,156
ana,2.54.1.85311,3922,8120,399,756,,,427,933,282,601,343,738,311,619,347,699,,,317,664,267,563,355,716,341,703,215,466,,,318,662
ana,2.54.2.85551,210,435,17,39,,,22,46,15,27,16,34,15,34,21,45,,,17,35,16,37,21,41,21,38,10,26,,,19,33
ana,2.54.2.85576,3399,7153,315,630,,,387,826,279,554,295,626,218,496,273,615,,,302,616,240,503,331,677,290,592,197,412,,,272,606
ana,2.54.2.85894,4105,8803,323,741,,,492,1040,286,629,345,740,318,654,371,805,,,358,746,273,610,419,828,347,766,234,541,,,339,703
ana,2.54.3.86223,7314,15680,681,1408,,,806,1852,492,1041,623,1436,570,1167,607,1321,,,663,1267,506,1045,690,1475,605,1371,450,977,,,621,1320
ana,2.55.0.86938,5395,11558,492,994,,,658,1420,363,801,467,1016,403,887,430,950,,,410,871,392,844,555,1185,477,1008,327,700,,,421,882
ana,2.55.1.87306,4788,10137,428,900,,,586,1209,349,712,391,878,377,804,409,846,,,430,900,320,697,472,953,413,868,258,564,,,355,806
ana,2.55.2.87774,2471,5291,221,463,,,325,646,174,366,214,448,191,433,181,433,,,205,451,178,381,269,556,201,449,119,266,,,193,399
ana,2.55.2.87990,1172,2462,107,195,,,124,274,81,180,95,224,100,184,112,225,,,83,184,81,196,119,249,123,229,55,123,,,92,199
ana,2.55.2.88122,4767,10197,457,906,,,567,1200,337,715,389,869,320,723,376,856,,,415,897,356,729,505,1032,419,923,284,606,,,342,741
ana,2.55.3.88481,5800,12628,523,1118,,,696,1518,413,871,542,1137,419,915,482,1101,,,465,1044,391,870,588,1266,526,1115,316,719,,,439,954
ana,2.55.3.88936,5503,11751,497,1016,,,661,1380,407,878,464,1000,411,902,437,1008,,,456,926,351,825,569,1148,470,1036,318,669,,,462,963
ana,2.55.3.89566,1620,3551,148,323,,,186,400,99,240,161,328,115,254,122,302,,,145,315,114,240,168,350,147,325,88,190,,,127,284
ana,2.55.3.89754,10024,21316,1007,2043,,,1233,2679,730,1526,919,2035,772,1602,,,,,859,1823,705,1551,1034,2134,917,1935,,,957,2194,891,1794
ana,2.55.3.90670,2994,6430,299,613,,,389,803,218,451,298,597,227,488,,,,,255,561,223,481,283,669,279,599,,,276,640,247,528
ana,2.55.3.91020,100,223,15,23,,,10,29,3,11,4,15,7,21,,,,,14,26,9,20,13,27,7,18,,,14,24,4,9
ana,2.55.3.91081,169,355,17,31,,,25,50,16,29,20,36,7,23,,,,,8,28,14,23,21,46,15,30,,,15,33,11,26
ana,2.55.3.91093,3190,6869,281,645,,,410,861,245,528,328,684,240,542,,,,,248,554,215,488,308,655,291,608,,,363,728,261,576
ana,2.55.4.91368,359,766,38,68,,,44,89,30,68,44,83,27,61,,,,,37,70,30,60,34,76,23,74,,,28,65,24,52
ana,2.55.4.91418,4442,9601,438,908,,,594,1255,332,701,414,945,335,721,,,,,410,857,335,721,438,956,392,845,,,416,923,338,769
ana,2.55.4.91769,5634,11951,558,1175,,,736,1497,404,845,536,1147,423,960,,,,,487,1041,408,861,573,1239,521,1075,,,536,1159,452,952
ana,2.55.5.92264,4251,8795,467,872,,,531,1079,298,619,365,807,321,685,,,,,378,774,305,601,497,1010,358,796,,,413,857,318,695
ana,2.55.6.92665,2987,6354,296,598,,,374,787,230,460,260,576,239,497,,,,,245,546,203,473,324,698,287,597,,,280,609,249,513
ana,2.55.7.93009,317,645,24,54,,,44,94,22,46,31,63,29,53,,,,,32,61,23,45,41,79,23,45,,,18,52,30,53
ana,2.55.7.93054,1031,2227,90,185,,,138,286,70,155,95,207,86,183,,,,,70,180,78,168,111,252,79,185,,,116,236,98,190
ana,2.55.7.93151,1115,2344,118,225,,,132,294,75,175,106,209,84,180,,,,,98,208,92,197,141,266,75,180,,,98,206,96,204
ana,2.55.8.93357,121,268,13,29,,,16,30,9,17,12,30,11,22,,,,,7,23,6,18,12,33,8,17,,,10,24,17,25
